gameId,gameDuraton,blueWins,blueFirstBlood,blueFirstTower,blueFirstBaron,blueFirstDragon,blueFirstInhibitor,blueDragonKills,blueBaronKills,blueTowerKills,blueInhibitorKills,blueWardPlaced,blueWardkills,blueKills,blueDeath,blueAssist,blueChampionDamageDealt,blueTotalGold,blueTotalMinionKills,blueTotalLevel,blueAvgLevel,blueJungleMinionKills,blueKillingSpree,blueTotalHeal,blueObjectDamageDealt,redWins,redFirstBlood,redFirstTower,redFirstBaron,redFirstDragon,redFirstInhibitor,redDragonKills,redBaronKills,redTowerKills,redInhibitorKills,redWardPlaced,redWardkills,redKills,redDeath,redAssist,redChampionDamageDealt,redTotalGold,redTotalMinionKills,redTotalLevel,redAvgLevel,redJungleMinionKills,redKillingSpree,redTotalHeal,redObjectDamageDealt
4211344801,1674,1,0,1,1,0,1,3,1,8,1,87,51,38,16,66,90339,60882,686,79,15.8,181,8,60535,72350,0,1,0,0,1,0,1,0,2,0,99,26,16,38,31,71576,47353,650,68,13.6,144,4,21697,22199
4210427204,1689,1,1,0,1,1,1,3,1,10,2,97,34,36,9,52,94850,59308,741,80,16,178,6,27972,80509,0,0,1,0,0,0,1,0,2,0,88,38,9,36,8,59893,47324,742,67,13.4,139,1,23940,25407
4210322448,1294,1,0,1,0,0,1,2,0,8,1,65,25,37,13,64,83567,50599,492,66,13.2,147,5,32906,50754,0,1,0,0,1,0,1,0,1,0,40,20,13,37,22,60071,35968,473,57,11.4,77,3,21534,15911
4209372132,1557,1,1,1,1,0,1,1,1,7,1,87,46,27,19,32,75223,52863,608,71,14.2,170,9,21584,56983,0,0,0,0,1,0,2,0,1,0,101,42,18,27,30,53732,44167,571,64,12.8,122,3,24992,28695
4209234345,1773,0,1,1,0,1,0,3,0,3,0,92,45,15,22,31,56302,52145,767,70,14,191,5,17856,39882,1,0,0,1,0,1,1,1,7,1,90,41,22,16,42,88603,58595,788,78,15.6,186,5,50189,75070
4209052195,941,0,0,0,0,0,0,0,0,0,0,28,12,3,16,4,21969,22107,345,43,8.6,68,0,7240,11020,1,1,1,0,1,0,2,0,3,0,43,14,16,3,25,31142,31529,404,51,10.2,97,4,14183,22365
4208873115,1460,0,0,0,0,1,0,1,0,0,0,50,32,10,23,18,59847,38684,587,60,12,139,2,20418,18750,1,1,1,0,0,1,2,0,5,1,82,24,23,10,41,66110,48090,621,67,13.4,144,6,31250,55396
4208646221,1203,0,1,1,0,0,0,1,0,2,0,42,14,9,16,16,29160,33534,464,51,10.2,107,3,10453,27673,1,0,0,0,1,0,2,0,3,0,65,16,16,9,31,39126,38023,512,56,11.2,122,4,19255,25361
4208432716,2229,0,0,0,1,0,0,1,1,4,0,98,58,20,34,41,80445,66538,858,82,16.4,219,5,33177,49266,1,1,1,0,1,1,4,1,8,1,127,47,34,20,90,114959,75139,907,87,17.4,263,9,33434,117395
4208294656,1482,0,1,1,0,0,0,0,0,4,0,71,25,15,25,30,56857,44873,569,66,13.2,148,2,20650,42908,1,0,0,1,1,1,3,1,10,2,72,36,25,15,50,73947,52369,676,73,14.6,137,6,27772,52887
4208183709,2463,1,1,0,1,1,1,3,1,11,3,146,70,34,29,35,119638,74394,903,84,16.8,232,6,56977,61920,0,0,1,0,0,0,3,0,2,0,164,62,29,34,66,134900,71878,898,87,17.4,201,8,34162,48661
4208093718,1146,1,1,1,0,0,0,1,0,5,0,57,29,26,11,51,48449,41784,505,59,11.8,120,6,15089,38850,0,0,0,0,1,0,1,0,0,0,59,28,11,26,22,35549,30140,422,53,10.6,80,4,11665,9300
4207617108,1932,0,0,0,0,1,0,2,0,3,0,67,32,22,49,42,106328,56118,666,73,14.6,162,7,51222,41299,1,1,1,1,0,1,2,1,7,1,85,26,49,22,94,134507,69552,676,83,16.6,199,14,30043,75500
4207670053,1296,0,1,1,0,1,0,1,0,3,0,61,16,10,26,9,53238,36540,506,56,11.2,116,2,14802,21215,1,0,0,1,0,0,1,1,3,0,73,24,26,10,42,63274,42880,515,66,13.2,129,7,30861,25503
4207425321,1628,0,0,0,0,0,0,0,0,2,0,66,29,14,31,20,68358,44552,673,67,13.4,114,3,27675,20993,1,1,1,1,1,1,4,1,8,2,78,24,31,14,57,92464,56935,641,74,14.8,199,5,38089,68040
4207338587,1358,1,0,1,1,1,0,2,1,4,0,67,27,23,14,43,54347,47785,561,68,13.6,201,6,20083,53191,0,1,0,0,0,0,1,0,1,0,58,23,14,23,18,40250,39469,552,60,12,105,2,19521,17188
4207361443,1838,1,0,0,1,1,1,2,1,7,1,106,49,35,36,62,110783,62379,618,78,15.6,185,9,27065,90825,0,1,1,0,0,0,1,0,5,0,91,43,36,35,51,100939,61641,648,74,14.8,175,8,43888,37005
4255795289,1244,0,0,0,0,0,0,0,0,0,0,42,20,11,28,19,46525,30394,347,50,10,76,2,24344,10440,1,1,1,0,1,1,3,0,6,1,59,11,28,11,46,61347,44730,486,57,11.4,135,6,30698,50499
4255761502,962,0,1,0,0,0,0,0,0,0,0,33,11,13,27,17,35698,27382,306,46,9.2,78,1,8264,4252,1,0,1,0,1,0,1,0,3,0,46,11,27,13,23,42472,36072,432,52,10.4,80,6,9881,21139
4255663162,1632,0,0,0,0,1,0,1,0,3,0,60,28,16,25,33,67495,45386,631,64,12.8,144,5,21165,26149,1,1,1,1,0,1,2,1,9,2,77,20,25,16,58,86546,54256,624,71,14.2,123,6,34539,65508
