champion,win,total_minions_killed,kills,assists,damage_dealt,total_healing,first_blood_kill,first_tower_kill,first_dragon,first_blood_win,first_tower_win,first_dragon_win,vision_score,game_duration
Lulu,0.528773073,54.17915309,2.295331162,13.23235613,38718.9468,2190.880565,0.069489685,0.017372421,0.44082519,0.734375,0.875,0.650246305,34.00108578,1449.53203
Kayle,0.511664075,155.3250389,5.141524106,8.269051322,118729.9922,8250.622084,0.037325039,0.038880249,0.461897356,0.583333333,0.76,0.616161616,16.84603421,1440.622084
Kled,0.483870968,144.3778802,4.707373272,6.778801843,99312.20853,2789.058756,0.14516129,0.051843318,0.470046083,0.555555556,0.533333333,0.661764706,17.82488479,1472.973502
Heimerdinger,0.494453249,141.3755943,4.633914422,9.202852615,106546.7227,1567.293185,0.05229794,0.055467512,0.48177496,0.606060606,0.657142857,0.634868421,16.9540412,1490.207607
Twitch,0.526153846,106.3138462,8.996923077,11.28615385,105371.48,2763.243077,0.156923077,0.067692308,0.332307692,0.68627451,0.727272727,0.703703704,13.54461538,1392.249231
Quinn,0.471111111,145.3888889,5.857777778,7.58,107556.4556,1490.097778,0.084444444,0.024444444,0.44,0.473684211,0.636363636,0.631313131,20.04888889,1477.762222
Xayah,0.462633452,182.194306,5.325978648,7.204982206,137882.3089,1784.075445,0.093238434,0.051957295,0.46405694,0.595419847,0.712328767,0.616564417,19.84768683,1516.152313
Malzahar,0.451456311,131.223301,5.04368932,13.11650485,110060.1408,1593.223301,0.038834951,0.067961165,0.237864078,0.625,0.5,0.653061224,13.30582524,1399.951456
Zed,0.497777778,148.776,7.940444444,6.061333333,108249.4604,2267.688,0.105777778,0.023111111,0.423111111,0.596638655,0.846153846,0.638655462,24.04266667,1504.414222
Tryndamere,0.503617945,172.2098408,5.474674385,4.953690304,150988.3517,8593.609262,0.114327062,0.085383502,0.444283647,0.582278481,0.745762712,0.648208469,15.82199711,1483.755427
Neeko,0.498567335,124.6862464,4.916905444,9.829512894,94819.10745,1829.366762,0.08739255,0.034383954,0.418338109,0.639344262,0.625,0.667808219,20.73925501,1447.095989
Nasus,0.463917526,115.0154639,5.664948454,10.70103093,109288.5722,2159.175258,0.041237113,0.06185567,0.340206186,0.625,0.666666667,0.545454545,9.128865979,1382.247423
Ryze,0.474151858,171.8473344,5.125201939,7.150242326,153231.3481,6156.139742,0.080775444,0.025040388,0.419224556,0.58,0.774193548,0.597302505,18.61793215,1478.464459
Malphite,0.517495396,91.10497238,5.931860037,11.16206262,76295.28361,1783.848987,0.062615101,0.022099448,0.359116022,0.588235294,0.833333333,0.646153846,14.48987109,1435.504604
Diana,0.474067334,132.0291174,6.080072793,7.102820746,123633.3485,3965.790719,0.08644222,0.058234759,0.402183803,0.557894737,0.609375,0.619909502,18.51137398,1481.471338
Nocturne,0.52130898,143.4794521,5.880517504,5.881278539,124481.5167,4434.861492,0.094368341,0.052511416,0.45738204,0.64516129,0.739130435,0.662229617,22.13622527,1478.757991
Trundle,0.514644351,43.69665272,4.290794979,11.36192469,97130.30753,13818.94351,0.112970711,0.077405858,0.458158996,0.592592593,0.702702703,0.652968037,26.9748954,1459.154812
Nunu,0.547272727,37.30545455,5.16,12.80727273,117378.8891,14558.48545,0.096363636,0.074545455,0.521818182,0.603773585,0.780487805,0.634146341,20.79090909,1463.641818
Kayn,0.482944345,35.502693,7.317773788,7.84021544,125984.2478,11593.33393,0.116696589,0.034111311,0.368043088,0.646153846,0.684210526,0.619512195,22.29443447,1466.486535
Janna,0.503284072,26.62972085,2.118226601,13.73481117,26362.62151,6322.796388,0.055829228,0.019704433,0.435139573,0.573529412,0.583333333,0.632075472,46.07307061,1471.784072
Zilean,0.507447865,97.05362463,2.76266137,11.63157895,69807.90169,5834.14995,0.040714995,0.011916584,0.417080437,0.414634146,0.5,0.664285714,28.39225422,1477.633565
Singed,0.530769231,130.3519231,3.823076923,10.88653846,93610.85962,4034.138462,0.059615385,0.019230769,0.463461538,0.677419355,1,0.651452282,15.44423077,1453.982692
Shyvana,0.498993964,47.62374245,6.358148893,8.331991952,148775.6137,9000.420523,0.062374245,0.068410463,0.539235412,0.64516129,0.735294118,0.604477612,26.72032193,1441.810865
Hecarim,0.496350365,89.5863747,6.727493917,8.03163017,114859.017,9611.83455,0.114355231,0.03649635,0.420924574,0.638297872,0.666666667,0.682080925,17.50364964,1430.973236
Evelynn,0.525547445,23.39051095,8.551094891,7.430656934,131197.9161,7644.007299,0.094890511,0.03649635,0.361313869,0.769230769,0.7,0.626262626,21.9379562,1539.051095
Khazix,0.501392758,39.23398329,8.930362117,7.830083565,122328.9694,10750.20891,0.122562674,0.050139276,0.417827298,0.681818182,0.666666667,0.66,24.67409471,1451.938719
Amumu,0.490291262,33.94660194,5.912621359,15.27669903,89108.2767,4686.252427,0.058252427,0.019417476,0.262135922,0.666666667,0.5,0.574074074,13.63106796,1418.834951
AurelionSol,0.505154639,149.3917526,5.479381443,9.492268041,108497.3247,4294.979381,0.069587629,0.015463918,0.440721649,0.666666667,0.5,0.625730994,17.59793814,1513.889175
Lux,0.459412781,54.50086356,4.594127807,14.85492228,55451.92401,1795.659758,0.053540587,0.017271157,0.321243523,0.548387097,0.8,0.623655914,26.01554404,1394.345423
Skarner,0.537878788,80.15909091,3.568181818,10.29545455,82755.62879,3094.219697,0.053030303,0.060606061,0.424242424,0.571428571,0.875,0.678571429,19.31060606,1392.439394
Velkoz,0.532374101,84.13669065,6.118705036,13.0971223,82412.07914,1498.003597,0.071942446,0.04676259,0.334532374,0.65,0.692307692,0.634408602,23.41007194,1459.395683
Corki,0.428571429,120.3839286,7.879464286,13.46875,112874.7946,3292.455357,0.066964286,0.049107143,0.227678571,0.4,0.545454545,0.62745098,11.05357143,1366.34375
Gnar,0.484745763,137.420339,4.220338983,8.369491525,101461.4136,3663.383051,0.057627119,0.030508475,0.416949153,0.352941176,0.777777778,0.601626016,16.96949153,1479.362712
Brand,0.501818182,55.08727273,7.509090909,15.88,74696.97091,2579.938182,0.069090909,0.018181818,0.258181818,0.421052632,0.6,0.633802817,19.21090909,1407.76
Urgot,0.466666667,121.7666667,6.522222222,8.288888889,99965.98889,3344.494444,0.077777778,0.044444444,0.388888889,0.357142857,0.75,0.671428571,15.47222222,1413.938889
Rammus,0.501930502,65.84169884,4.482625483,12.72972973,78568.63707,4084.571429,0.057915058,0.027027027,0.332046332,0.533333333,0.571428571,0.651162791,14.66409266,1423.046332
Sona,0.535632184,45.55172414,3.659770115,17.35862069,37667.42529,10501.38391,0.043678161,0.018390805,0.356321839,0.473684211,0.875,0.619354839,29.46206897,1420.262069
Nami,0.49068323,14.87267081,2.136645963,16.16304348,17610.29193,10144.44565,0.052795031,0.01242236,0.405279503,0.705882353,0.625,0.620689655,39.66614907,1472.832298
Warwick,0.482352941,39.9,6.729411765,8.970588235,99734.78235,14703.81176,0.147058824,0.064705882,0.470588235,0.64,0.545454545,0.65,16.03529412,1462.747059
Shaco,0.499197432,32.52648475,6.776886035,10.44301766,83475.03852,4254.573034,0.144462279,0.036918138,0.41894061,0.566666667,0.695652174,0.624521073,24.7046549,1480.064205
Riven,0.452307692,129.8584615,6.827692308,7.224615385,106741.0831,4039.889231,0.101538462,0.030769231,0.415384615,0.424242424,0.6,0.6,14.49846154,1451.064615
Teemo,0.480565371,83.66784452,6.310954064,11.85865724,80822.36042,2908.823322,0.056537102,0.042402827,0.296819788,0.6875,0.75,0.571428571,11.77031802,1381.226148
MasterYi,0.453271028,64.82943925,9.140186916,6.920560748,118320.9626,7021.544393,0.175233645,0.067757009,0.385514019,0.586666667,0.689655172,0.533333333,13.93925234,1353.621495
Vi,0.456,38.616,6.528,8.88,118669.44,5001.976,0.056,0.016,0.488,0.428571429,0.5,0.508196721,21.08,1474.68
Veigar,0.540935673,120.3157895,7.032163743,12.28362573,107043.9766,2105.201754,0.038011696,0.035087719,0.271929825,0.692307692,0.666666667,0.731182796,14,1404.567251
KogMaw,0.5,109.7892157,9.730392157,15.34803922,106347.7059,2964.161765,0.093137255,0.058823529,0.220588235,0.578947368,0.666666667,0.511111111,8.843137255,1358.196078
Swain,0.444444444,58.02681992,5.61302682,14.54022989,60913.23755,9568.337165,0.111111111,0.022988506,0.318007663,0.586206897,0.5,0.493975904,22.35632184,1418.659004
Xerath,0.46875,81.06597222,7.409722222,16.18402778,90812.29167,1834.211806,0.079861111,0.020833333,0.284722222,0.347826087,1,0.536585366,15.66319444,1420.222222
DrMundo,0.471204188,63.30890052,5.544502618,11.63350785,88684.58639,9168.481675,0.094240838,0.052356021,0.340314136,0.5,0.6,0.584615385,10.83246073,1341.052356
Udyr,0.493670886,52.70886076,5.848101266,8.670886076,90560.08861,6503.810127,0.164556962,0.050632911,0.493670886,0.538461538,0.75,0.717948718,12,1362.886076
Annie,0.44,85.17333333,7.58,13.30666667,74907.72667,1574.306667,0.08,0.04,0.273333333,0.5,0.833333333,0.56097561,12.04,1344.126667
Zyra,0.457286432,47.02512563,4.452261307,14.26130653,61826.66834,1552.452261,0.025125628,0.040201005,0.32160804,0.8,0.375,0.65625,30.9798995,1408.80402
